CME_num,LASCO_Start,Start_Date,Arrival_Date,PE_duration,Arrival_v,Transit_time,Transit_time_err,LASCO_Date,LASCO_v,LASCO_pa,LASCO_da,LASCO_halo,v_r,v_r_err,Theta_source,Phi_source,source_err,POS_source_angle,rel_wid,Mass,SW_type,Bz,DST,v_r_stat,Accel.,Analyitic_w,Analyitic_gamma,filename,Wind speed,Wind dens
index,datetime,datetime,datetime,hours,km/s,hours,hours,datetime,km/s,deg,deg,,km/s,km/s,arcsec,arcsec,arcsec,deg,rad,g,,nT,nT,km/s,m/s^2,km/s,km^-1,,km/s,1/cm^3
54,2000-07-17 08:54:05.000,2000-07-17 11:58:46.160,2000-07-20 01:00:00,31.0,530,61.02027777777778,0.42056,2000-07-17 08:54:05,788.0,95.0,116.0,PH,1431.9,278.64,-25.559423352554916,15.713857538082065,20.0,60.27578370168616,1.1519173063162575,7500000000000000.0,S,8,-93.0,850.776,72.618,496.44,1.3078e-07,CME_054_param_inv.txt,      673.308,      1.79154
55,2000-07-23 05:30:05.000,2000-07-23 09:24:25.880,2000-07-27 02:00:00,24.0,360,88.59277777777777,0.29004,2000-07-23 05:30:05,631.0,161.0,181.0,HH,792.55,61.592,-36.3192563581214,-7.404556381453951,20.0,53.035689533162945,0.7853981633974483,3100000000000000.0,S,6,-42.0,689.5369999999999,0,326.32,8.6363e-08,CME_055_param_inv.txt,      420.154,      4.86385
56,2000-07-25 03:30:05.000,2000-07-25 08:06:24.440,2000-07-28 12:00:00,49.0,440,75.89305555555555,0.37478,2000-07-25 03:30:05,528.0,-9999.0,360.0,FH,674.53,57.667,1.778528907851539,-10.548764103931601,20.0,79.30403040564906,0.7853981633974483,1600000000000000.0,S,9,-71.0,583.756,0,396.26,7.0531e-08,CME_056_param_inv.txt,      380.615,      3.22231
57,2000-08-06 22:30:05.000,2000-08-07 04:45:06.080,2000-08-10 19:00:00,26.0,430,86.24805555555555,1.5541,2000-08-06 22:30:05,211.0,332.0,122.0,PH,451.24,116.42,10.695052053445743,-8.298165921800601,20.0,76.4929295560064,0.5585053606381855,-9999.0,S,12,-106.0,258.197,0,428.2,1.6467e-06,CME_057_param_inv.txt,      477.077,      2.54769
58,2000-08-09 16:30:05.000,2000-08-09 19:48:12.560,2000-08-12 05:00:00,41.0,580,57.19638888888889,0.63541,2000-08-09 16:30:05,702.0,-9999.0,360.0,FH,928.29,185.07,10.890274996562548,4.3157705528680905,57.687642982640234,78.29534112794684,1.1519173063162575,7000000000000000.0,S,18,-235.0,762.454,0,522.83,7.2978e-08,CME_058_param_inv.txt,      358.308,      4.36692
59,2000-08-29 18:30:06.000,2000-08-29 20:44:58.800,2000-09-02 22:00:00,15.0,420,97.25027777777778,0.30345,2000-08-29 18:30:06,769.0,347.0,122.0,PH,1200.7,161.68,0.5986557795709264,-0.4880718840624301,20.0,89.22760486951795,1.1519173063162575,1900000000000000.0,S,8,-20.0,831.2629999999999,0,0,0,CME_059_param_inv.txt,      599.846,      3.19692
60,2000-09-05 05:54:05.000,2000-09-05 08:46:29.600,2000-09-08 12:00:00,46.0,450,75.225,0.408,2000-09-05 05:54:05,473.0,3.0,138.0,PH,945.28,122.07,18.135797701685817,-3.506892525895618,20.0,71.53945132251204,1.1519173063162575,3200000000000000.0,S,5,-48.0,527.271,0,430.62,1.8337e-07,CME_060_param_inv.txt,      385.385,      10.8508
61,2000-10-02 20:26:05.000,2000-10-02 23:00:14.480,2000-10-05 13:00:00,46.0,450,61.99583333333334,0.39345,2000-10-02 20:26:05,569.0,-9999.0,360.0,FH,1102.0,165.06,18.827643926178602,6.452129765224833,20.0,70.13546877440241,1.1519173063162575,3900000000000000.0,S,6,-182.0,625.8629999999999,0,314.27,2.7322e-08,CME_061_param_inv.txt,      387.769,      6.75846
62,2000-10-09 23:50:05.000,2000-10-10 01:59:33.440,2000-10-13 16:00:00,25.0,400,86.00722222222223,0.22957,2000-10-09 23:50:05,798.0,295.0,175.0,PH,1239.3,129.83,-4.494675053249469,-10.85047783522165,20.0,78.26574291646628,1.1519173063162575,1.4e+16,S,12,-107.0,861.0459999999999,0,390.22,3.2631e-07,CME_062_param_inv.txt,      327.077,      14.5615
63,2000-10-25 09:06:05.000,2000-10-25 12:49:10.160,2000-10-28 21:00:00,25.0,380,80.18027777777777,0.3538,2000-10-25 08:26:05,770.0,-9999.0,360.0,FH,1196.1,151.64,14.1247114322142,18.23740806479838,20.0,67.08057913753795,1.1519173063162575,1.7e+16,S,14,-127.0,832.29,49.504,341.87,8.6806e-08,CME_063_param_inv.txt,      398.846,      3.63923
